,g_A909,g_2603V,g_515,g_NEM316
A909|MGIDGNCP_01408,A909|MGIDGNCP_01408,2603V|GBPINHCM_01420,515|LHMFJANI_01310,NEM316|AOGPFIKH_01528
A909|MGIDGNCP_00096,A909|MGIDGNCP_00096,2603V|GBPINHCM_00097,515|LHMFJANI_00097,NEM316|AOGPFIKH_00098
A909|MGIDGNCP_01343,A909|MGIDGNCP_01343,NA,NA,NEM316|AOGPFIKH_01415
A909|MGIDGNCP_01221,A909|MGIDGNCP_01221,NA,515|LHMFJANI_01130,NA
A909|MGIDGNCP_01268,A909|MGIDGNCP_01268,2603V|GBPINHCM_01231,515|LHMFJANI_01178,NEM316|AOGPFIKH_01341
A909|MGIDGNCP_00580,A909|MGIDGNCP_00580,2603V|GBPINHCM_00554,515|LHMFJANI_00548,NEM316|AOGPFIKH_00621
A909|MGIDGNCP_00352,A909|MGIDGNCP_00352,2603V|GBPINHCM_00348,515|LHMFJANI_00342,NEM316|AOGPFIKH_00350
A909|MGIDGNCP_00064,A909|MGIDGNCP_00064,2603V|GBPINHCM_00065,515|LHMFJANI_00064,NEM316|AOGPFIKH_00065
A909|MGIDGNCP_00627,A909|MGIDGNCP_00627,NA,NA,NA
A909|MGIDGNCP_01082,A909|MGIDGNCP_01082,2603V|GBPINHCM_01042,NA,NA
A909|MGIDGNCP_00877,A909|MGIDGNCP_00877,2603V|GBPINHCM_00815,515|LHMFJANI_00781,NEM316|AOGPFIKH_00855
A909|MGIDGNCP_00405,A909|MGIDGNCP_00405,2603V|GBPINHCM_00401,515|LHMFJANI_00394,NEM316|AOGPFIKH_00403
2603V|GBPINHCM_00748,NA,2603V|GBPINHCM_00748,NA,NA
2603V|GBPINHCM_01226,NA,2603V|GBPINHCM_01226,NA,NA
515|LHMFJANI_01625,NA,NA,515|LHMFJANI_01625,NEM316|AOGPFIKH_01842
